id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_dia;defeitos_tarde;defeitos_noite;pen_pct
5;ceu_aberto;5;1760,0;16;2544,92;27;32;1;80
6;parcialmente_nublado;4;1760,0;16;2596,6000000000004;8;36;1;80
7;parcialmente_nublado;7;1760,0;16;2802,83;11;35;1;80
8;ceu_aberto;5;1760,0;16;2081,65;9;32;1;80
9;nublado;5;1760,0;16;2600,8599999999997;7;35;1;80
10;parcialmente_nublado;3;1760,0;16;2838,8999999999996;9;36;1;80
11;ceu_aberto;3;1760,0;16;2310,06;36;34;1;80
12;parcialmente_nublado;5;1760,0;16;2406,2300000000005;24;35;1;80
13;parcialmente_nublado;6;1760,0;16;2461,17;27;22;1;80
14;ceu_aberto;6;1760,0;16;2651,61;29;35;1;80
15;parcialmente_nublado;6;1760,0;16;2379,47;17;35;1;80
16;ceu_aberto;5;1760,0;16;2114,4;10;22;1;80
17;parcialmente_nublado;4;1760,0;16;2945,92;27;36;1;80
18;ceu_aberto;6;1760,0;16;2340,33;10;35;1;80
19;nublado;5;1760,0;16;2302,45;7;22;1;80
20;nublado;4;1760,0;16;2260,31;8;22;1;80
21;ceu_aberto;5;1760,0;16;2390,13;28;36;1;80
22;ceu_aberto;8;1760,0;16;2721,92;17;29;1;80
23;nublado;10;1760,0;16;2209,6;8;15;1;80
24;nublado;4;1760,0;16;2337,48;1;36;1;80
25;ceu_aberto;5;1760,0;16;2485,1000000000004;34;35;1;80
26;parcialmente_nublado;6;1760,0;16;2129,02;13;22;1;80
27;ceu_aberto;4;1760,0;16;2607,89;25;35;1;80
28;ceu_aberto;7;1760,0;16;2626,42;35;35;1;80
29;nublado;5;1760,0;16;2534,95;1;36;1;80
30;ceu_aberto;5;1760,0;16;2570,3100000000004;9;35;1;80
31;ceu_aberto;6;1760,0;16;2413,46;36;35;1;80
32;nublado;10;1760,0;16;2264,01;9;36;1;80
33;parcialmente_nublado;5;1760,0;16;2223,3100000000004;9;36;1;80
34;nublado;5;1760,0;16;2547,49;8;22;1;80
35;parcialmente_nublado;5;1760,0;16;2594,81;25;35;1;80
36;ceu_aberto;7;1760,0;16;2652,45;35;35;1;80
37;nublado;6;1760,0;16;2665,13;2;36;1;80
38;nublado;4;1760,0;16;2280,64;1;35;1;80
39;nublado;4;1760,0;16;2747,48;3;36;1;80
40;ceu_aberto;7;1760,0;16;2232,1400000000003;9;22;1;80
41;nublado;5;1760,0;16;2266,16;9;36;1;80
42;ceu_aberto;5;1760,0;16;2206,03;35;32;1;80
43;ceu_aberto;6;1760,0;16;2505,29;34;32;1;80
44;ceu_aberto;8;1760,0;16;2328,6899999999996;11;35;1;80
45;nublado;6;1760,0;16;2610,3999999999996;6;36;1;80
46;parcialmente_nublado;7;1760,0;16;2780,63;9;36;1;80
47;parcialmente_nublado;10;1760,0;16;2283,16;9;32;1;80
48;parcialmente_nublado;5;1760,0;16;2271,3;22;36;1;80
49;nublado;5;1760,0;16;2893,37;8;35;1;80
50;parcialmente_nublado;7;1760,0;16;2362,5299999999997;15;36;1;80
1;ceu_aberto;7;1980,0;18;2377,58;36;36;1;90
2;parcialmente_nublado;6;1980,0;18;2736,78;18;36;1;90
3;nublado;5;1980,0;18;2702,1999999999994;7;36;1;90
4;ceu_aberto;5;1980,0;18;2758,8399999999997;36;35;1;90
5;parcialmente_nublado;8;1980,0;18;2622,6499999999996;9;36;1;90
